item_id,text,true_label
0,"CEO Eisner to Step Down in Sept 2006 -WSJ  NEW YORK (Reuters) - Michael Eisner plans to step down as  Walt Disney Co.'s chief executive when his contract expires in  September 2006, the Wall Street Journal said on Friday.",Business
1,"Technology ; STT, Telekom Malaysia buy 48 pct of Idea Singapore government-owned STT and TM International, the international investment arm of Telekom Malaysia, said in a statement on Saturday they had signed  quot;definitive agreements quot; to buy the entire stake of Cingular Wireless in Idea.",Business
2,"Guilty Plea Seen in Computer Associates Case Steven Woghin, the former general counsel of Computer Associates, will plead guilty to criminal charges.",Business
3,Coke opens its coolers to rival products Coca Cola is to allow other companies #39; products in its shop coolers for the first time. It has agreed the move in a deal with the European Commission to settle a five year competition case.,Business
4, #39;Noles Rebound Leon Washington ran for 104 yards and a touchdown and Florida State sacked Alabama-Birmingham #39;s Darrell Hackney eight times Saturday night to rebound from a disappointing loss to Miami with a 34-7 victory.,Sports
5,"Earnings Improve at Japanese Electronics Firms The Japanese electronics makers remained cautious about the months ahead, citing worries about global growth. Japanese corporate profits are almost certain to be hurt by any economic slowdown in Japan and in the United States.",Business
6,"US Airways May Liquidate by February ALEXANDRIA, Va. Sept. 27, 2004 - US Airways Group Inc. warned in a bankruptcy court filing that it may have to liquidate by February if a judge does not impose a temporary 23 percent pay cut on its union workers.",Business
7,"A mixed economic bag in July Factory orders in July for costly manufactured goods recorded the biggest gain in four months. New home sales, meanwhile, slid, according to a pair of reports ",Business
8,"EU Accuses Microsoft of Paternal View Microsoft Corp. said Friday that small companies and their customers would suffer most if it is forced to remove its digital media software from Windows, while the European Union accused it of being ""paternalistic"" in trying to decide what's best for everyone.",Sci/Tech
9,"Bosnian Serb PM resigns after war crimes criticism (AFP) AFP - Bosnian Serb Prime Minister Dragan Mikerevic resigned, a day after the international community imposed fresh sanctions against Serb police and officials for allegedly protecting war crimes fugitives.",World
